Direction,Size1,Wheels1,Shape1,Size2,Wheels2,Shape2,Size3,Wheels3,Shape3,Size4,Wheels4,Shape4,Size5,Wheels5,Shape5
east,0,2,0,0,2,3,2,2,0,0,3,1,1,4,0
east,2,2,0,1,5,0,1,2,1,2,5,2,1,4,0
east,1,5,0,0,2,3,1,3,0,0,2,2,2,5,0
east,2,2,0,0,2,1,0,5,0,2,5,0,1,4,1
east,2,3,3,2,5,0,2,4,0,2,4,3,0,2,0
east,1,5,2,0,2,0,1,3,0,2,2,0,1,2,1
east,1,2,1,0,4,0,2,2,0,2,5,0,0,3,3
east,0,3,2,2,5,0,2,5,0,2,2,4,1,4,0
east,2,5,4,2,2,0,2,4,0,1,3,2,0,4,0
east,1,2,0,1,4,4,2,3,0,1,4,3,2,5,0
east,0,5,2,2,2,0,0,4,0,2,5,0,1,4,2
east,1,2,3,0,4,0,2,3,1,2,4,0,2,2,0
east,0,5,0,2,3,0,1,4,0,1,3,2,1,4,3
east,1,5,4,1,2,0,1,4,0,0,2,0,1,5,1
east,1,4,3,1,5,2,0,4,0,1,5,0,2,3,0
east,0,4,1,2,4,0,0,5,0,0,2,1,0,2,0
east,2,5,0,2,3,0,0,5,0,0,5,1,0,4,2
east,0,3,0,2,4,0,1,4,1,0,5,1,2,5,0
east,0,5,0,2,3,0,2,2,0,1,5,1,1,5,0
east,0,3,0,0,3,1,0,3,0,1,2,0,0,4,1
east,0,2,0,1,2,0,2,3,0,0,3,4,2,4,0
east,0,2,4,2,4,0,2,4,0,1,3,0,1,5,1
east,2,4,4,2,5,0,2,5,0,0,4,1,2,5,0
east,1,3,0,1,5,2,0,4,3,0,5,0,1,5,0
east,0,2,4,1,5,0,1,3,0,1,2,0,2,4,4
east,0,5,0,0,2,3,0,3,0,2,4,0,2,3,0
east,0,4,1,0,2,3,0,4,0,2,4,0,0,2,0
east,2,2,0,2,5,0,2,5,0,2,5,1,1,4,2
east,1,5,0,0,4,0,1,2,1,1,2,0,2,2,2
east,2,5,0,2,2,0,1,2,2,1,4,0,0,5,4
east,1,4,0,2,3,0,2,4,3,2,3,0,1,5,1
east,2,5,0,0,4,0,1,5,1,1,5,3,0,4,0
east,1,2,1,2,5,0,2,5,1,1,3,0,1,3,0
east,1,4,0,0,4,2,1,3,0,1,3,2,2,5,0
east,0,5,2,1,5,0,2,4,2,0,3,0,2,5,0
east,1,4,0,0,2,0,1,3,0,0,2,2,2,5,2
east,2,4,0,2,3,4,1,4,0,0,2,1,2,2,0
east,1,3,1,1,5,2,1,3,0,2,4,0,1,5,0
east,0,5,0,1,4,0,2,4,4,2,3,1,0,4,0
east,1,5,0,0,3,4,2,4,0,1,5,0,0,2,1
east,1,5,3,2,2,0,1,4,0,1,3,2,2,3,0
east,0,4,0,1,4,3,0,3,0,1,2,1,0,4,0
east,1,2,0,0,2,0,2,3,0,1,4,4,2,4,1
east,1,5,0,1,3,0,0,4,0,2,5,2,1,3,1
east,0,4,0,2,4,0,1,5,2,0,2,0,2,5,4
east,2,5,0,1,2,3,2,4,0,0,5,0,2,5,3
east,0,4,4,2,4,0,1,3,0,0,4,0,0,5,4
east,0,2,0,0,2,0,0,2,1,2,5,0,0,2,0
east,2,3,4,2,3,3,1,3,0,0,2,0,0,2,0
east,2,3,0,1,2,0,2,4,1,2,5,2,0,5,0
east,2,2,0,1,2,0,2,5,4,0,3,4,0,5,0
east,0,2,0,1,2,0,1,4,0,0,5,1,2,3,0
east,2,4,3,1,5,0,2,4,4,2,5,0,2,3,0
east,1,2,0,0,4,0,0,4,1,1,3,0,1,4,2
east,0,2,0,1,2,4,1,5,0,1,4,1,1,3,0
east,2,4,1,0,5,0,2,4,4,2,4,0,2,5,0
east,2,5,1,0,5,0,0,5,0,1,5,0,1,3,1
east,1,2,0,1,2,1,0,2,0,0,5,1,2,4,0
east,1,2,0,1,3,0,2,2,0,1,3,0,2,4,3
east,1,5,0,2,3,0,0,2,3,1,4,4,0,3,0
east,1,5,0,0,3,0,0,5,3,1,2,4,0,5,0
east,1,2,0,0,3,0,0,5,4,1,5,0,2,4,3
east,2,2,0,0,5,2,0,3,2,1,5,0,1,3,0
east,1,2,2,2,2,0,2,3,0,2,5,1,2,3,0
east,0,5,4,2,5,0,2,3,0,1,3,4,1,4,0
east,2,2,0,0,3,2,1,2,0,0,4,2,1,4,0
east,2,2,2,0,5,0,0,4,1,1,3,0,1,5,0
east,1,3,0,1,5,1,1,5,0,1,3,3,2,2,0
east,2,4,0,2,5,4,1,4,0,2,4,2,2,4,0
east,0,3,2,2,4,2,2,4,0,2,4,0,1,4,0
east,2,5,1,0,2,0,0,2,0,0,5,2,1,4,0
east,1,3,0,1,5,2,0,4,2,1,5,0,1,3,0
east,0,4,0,2,3,0,1,2,0,0,5,4,2,4,4
east,2,5,1,0,2,4,0,2,0,1,3,0,2,3,0
east,0,4,0,0,4,2,2,5,1,1,3,0,2,3,0
east,2,2,0,1,4,0,1,3,0,0,5,0,1,4,3
east,2,3,0,2,4,4,0,5,0,1,5,0,0,5,0
east,0,5,0,0,5,3,2,5,0,2,2,0,2,3,3
east,1,3,0,0,5,0,0,2,2,0,3,0,1,2,4
east,2,5,2,1,4,0,1,3,0,0,4,3,1,2,0
east,1,2,0,2,2,0,1,3,0,2,4,3,1,2,0
east,0,3,0,0,3,2,2,4,0,1,3,4,2,2,0
east,2,5,0,0,2,0,0,5,1,2,3,0,2,3,1
east,1,3,4,1,2,0,2,5,0,1,2,2,1,3,0
east,2,3,3,2,2,0,0,4,0,0,5,0,1,5,1
east,1,4,1,0,4,0,1,2,0,0,2,0,2,5,0
east,1,3,3,1,3,0,0,4,3,1,2,0,2,4,0
east,0,3,0,2,4,0,2,2,1,2,5,1,1,5,0
east,2,5,0,0,2,0,1,3,3,2,5,0,0,5,3
east,0,3,0,2,4,0,2,3,4,1,2,4,2,2,0
east,0,4,0,0,4,0,2,5,3,2,2,0,2,4,4
east,1,3,0,0,4,1,2,2,0,2,3,2,2,2,0
east,2,4,3,0,3,3,2,4,0,0,3,0,2,3,0
east,1,5,0,1,5,0,0,2,4,1,2,3,1,4,0
east,0,3,2,0,4,0,0,5,4,2,3,0,1,2,0
east,2,5,1,2,5,0,0,3,2,0,3,0,1,3,0
east,0,3,2,2,5,0,1,3,0,1,4,4,1,5,0
east,2,4,4,0,5,0,2,3,0,1,5,0,0,3,3
east,1,5,0,0,4,3,0,5,0,1,5,4,0,2,0
east,0,2,0,2,4,0,1,4,0,2,5,2,2,5,1
east,2,4,3,1,5,0,1,5,0,1,5,0,1,2,0
east,2,3,1,0,5,0,0,3,0,1,2,2,2,3,0
east,1,3,0,2,3,0,0,3,1,1,2,0,0,4,3
east,0,2,0,0,4,2,2,4,0,1,4,0,2,2,0
east,0,3,0,2,2,1,2,3,0,2,4,0,0,3,0
east,1,5,0,0,4,0,1,4,3,1,4,0,2,5,3
east,2,4,4,2,4,0,0,3,0,0,2,0,1,2,3
east,0,4,0,0,4,3,0,5,0,2,3,0,0,2,2
east,1,5,0,1,4,3,0,4,2,2,2,0,0,4,0
east,2,4,0,2,3,0,1,3,4,2,2,0,2,4,3
east,1,3,2,1,2,0,2,4,4,1,2,0,1,3,0
east,0,4,0,0,3,3,2,3,0,2,3,0,1,4,0
east,2,2,2,0,2,3,1,3,0,0,4,0,0,5,0
east,2,4,0,0,2,0,0,4,1,2,3,2,0,4,0
east,0,2,4,1,3,0,2,5,0,0,5,0,0,2,1
east,1,2,0,1,5,0,1,3,0,2,2,0,2,5,2
east,2,4,0,1,4,0,0,2,0,0,4,2,2,4,3
east,1,3,0,0,3,3,1,3,1,1,5,0,1,5,0
east,1,3,0,1,2,3,0,2,1,2,2,0,1,5,0
east,0,2,0,2,4,0,1,2,4,2,4,2,2,2,0
east,1,2,0,0,4,0,0,2,1,0,4,0,1,5,3
east,2,4,3,2,2,1,2,3,0,0,4,0,2,3,0
east,0,5,0,0,3,0,0,3,0,1,3,2,1,2,0
east,1,3,0,2,3,0,1,3,1,0,5,4,1,5,0
east,0,2,2,2,3,0,0,3,1,1,4,0,2,2,0
east,0,4,3,2,5,4,0,5,0,0,2,0,1,3,0
east,2,2,3,0,4,0,2,2,4,0,3,0,1,2,0
east,1,2,1,1,3,1,1,3,0,0,4,0,0,2,0
east,1,2,0,2,2,0,1,3,0,0,5,2,1,3,2
east,0,5,0,2,4,0,1,4,3,1,5,1,2,5,0
east,2,3,2,1,5,0,1,5,0,0,2,2,2,5,0
east,2,4,1,2,4,2,2,4,0,0,3,0,0,4,0
east,0,5,2,2,5,0,0,2,0,1,5,1,0,2,0
east,2,4,0,0,3,0,0,3,0,2,2,3,1,2,3
east,1,5,0,0,4,1,0,5,0,0,4,0,2,2,3
east,0,2,0,2,5,0,0,4,1,1,4,0,0,2,1
east,2,3,0,1,2,0,2,5,3,2,3,0,1,2,1
east,2,5,0,1,2,0,0,2,1,0,2,4,0,3,0
east,0,3,0,0,4,0,1,3,0,1,5,4,0,4,3
east,0,3,0,0,3,0,0,3,3,2,5,2,1,2,0
east,1,3,3,1,3,0,2,2,1,0,5,0,1,4,0
east,1,4,0,1,2,0,2,5,4,2,3,0,0,2,0
east,0,3,0,1,4,4,0,5,0,0,5,0,1,3,1
east,1,4,0,0,5,3,0,4,0,2,2,0,2,3,1
east,1,2,0,1,2,4,0,2,4,0,4,0,0,4,0
east,0,5,0,1,4,0,1,3,0,0,4,4,1,2,2
east,0,5,0,2,5,0,1,5,0,1,3,3,1,4,1
east,2,2,2,2,5,0,2,3,0,1,5,0,2,4,3
east,2,5,2,2,2,0,0,2,2,1,5,0,0,4,0
east,2,2,0,0,5,2,1,2,2,0,5,0,2,4,0
east,2,5,4,2,4,2,0,2,0,0,3,0,1,2,0
east,2,4,0,0,4,0,2,3,4,0,5,0,1,4,1
east,2,5,0,0,3,0,2,5,2,2,3,0,2,3,3
east,0,2,0,1,3,0,1,5,1,2,4,0,0,3,3
east,2,3,2,2,2,0,2,4,0,1,4,3,0,2,0
east,2,4,4,2,2,0,1,3,0,2,3,4,2,2,0
east,0,2,3,2,3,4,1,4,0,0,4,0,2,5,0
east,2,5,0,2,3,0,0,4,0,1,5,0,1,5,0
east,0,2,0,2,5,0,1,5,0,1,2,0,1,5,3
east,2,4,0,0,4,0,1,4,4,2,3,1,0,3,0
east,0,3,0,2,2,2,2,3,0,2,4,1,1,3,0
east,0,3,4,0,5,0,2,4,3,2,2,0,1,4,0
east,1,4,2,1,5,0,2,2,3,0,2,0,2,2,0
east,1,4,0,0,2,0,1,2,1,0,4,0,2,3,2
east,2,2,4,1,3,2,2,5,0,0,2,0,2,5,0
east,0,3,0,0,5,1,0,3,0,0,5,2,2,3,0
west,0,5,2,2,3,2,0,3,1,1,4,4
west,1,3,4,2,3,3,2,3,2
west,2,5,3,0,4,1,2,2,2
west,2,3,4,2,2,2,1,3,3
west,2,4,4,1,3,2,1,4,3,2,4,1
west,2,3,1,0,5,2
west,1,4,2,0,2,2,2,3,1
west,1,5,1,0,3,2,2,4,1
west,0,4,2,2,3,1,1,3,4
west,1,5,4,0,5,3
west,2,5,4,1,2,2,1,2,4,1,2,2,2,4,0
west,1,4,2,2,4,0,2,4,0
west,2,4,2,2,5,0,0,5,1,2,3,1,2,5,1
west,1,4,4,0,5,1,0,2,0
west,1,5,1,2,3,2,1,3,4
west,1,4,3,1,4,1,1,2,3,1,2,3
west,2,5,2,2,2,3,0,4,0,2,3,1
west,0,4,1,0,5,0,1,4,0,2,2,4,2,5,4
west,0,3,1,0,2,0,0,4,2
west,1,5,2,0,3,1,0,5,0
west,0,2,2,2,4,2,1,4,2
west,0,5,0,2,4,0,0,5,2,0,5,3,2,4,1
west,2,3,4,1,5,4,2,2,3
west,2,5,1,0,5,4,2,2,0,0,2,4,2,3,3
west,1,5,4,1,4,1
west,2,5,2,2,5,3
west,0,3,1,2,3,1,1,5,3,0,3,3
west,0,4,4,2,2,1
west,0,5,0,0,4,1,2,4,3,1,3,1,2,3,4
west,0,2,2,2,5,0,1,3,4
west,1,5,3,0,3,4,0,2,1,0,2,2
west,0,4,3,1,3,0,1,5,1,1,2,4
west,2,4,3,2,5,2
west,2,2,2,1,2,3,2,2,4,0,5,3,2,4,2
west,1,2,3,1,3,3,2,5,4,1,5,4,2,4,0
west,0,4,3,1,3,4,0,3,2,1,5,2,0,2,1
west,0,5,4,1,3,4,1,2,4,2,4,3,1,2,3
west,0,2,4,2,3,4,1,5,4,0,5,3,0,4,3
west,0,3,4,1,2,0,1,4,4
west,1,2,0,0,2,2,0,5,0,1,4,4,2,4,1
west,0,5,1,2,3,1,2,2,3
west,0,5,0,2,3,1
west,1,3,1,0,3,4,0,2,3,2,2,1,0,5,4
west,2,5,3,1,2,3,2,5,1,1,5,4
west,2,3,4,1,2,4
west,1,3,2,0,4,3,0,5,3
west,1,4,1,0,2,1
west,1,2,4,2,4,4,1,3,3,1,3,2,2,2,0
west,0,2,3,0,5,4,1,2,0,2,5,4,0,4,3
west,2,5,0,1,5,1,1,2,0
west,2,4,3,0,5,3,2,3,3,1,5,3,1,2,1
west,2,3,2,0,5,1,1,5,2
west,2,2,2,2,4,0,2,3,3,1,5,4
west,1,5,1,0,2,1,2,2,2,2,5,4,0,4,4
west,1,4,0,1,2,1,0,3,2,2,5,0
west,0,4,4,1,2,1,2,4,2,1,4,4,0,4,0
west,0,3,2,1,2,1,1,3,1,0,5,2,1,4,1
west,1,4,0,2,5,4,2,3,3,1,5,0,0,4,3
west,2,3,3,1,4,3
west,1,5,0,1,4,1,1,3,3,2,2,2,0,4,4
west,1,4,2,1,4,2
west,0,5,3,2,4,0,0,3,2,2,2,1,1,2,4
west,2,3,1,2,5,3,2,5,2,1,5,4
west,0,5,1,0,3,2
west,0,2,1,2,2,1,2,3,0,2,2,4
west,1,3,2,2,4,3
west,2,3,2,1,5,2
west,0,5,4,1,2,0,2,4,3,2,5,0
west,2,5,3,1,2,1,2,4,0
west,0,2,4,1,5,2,2,5,2
west,0,5,1,1,5,3,0,4,3
west,1,5,1,2,4,3
west,0,3,4,1,4,0,0,5,3,2,5,3
west,1,5,2,1,3,3
west,2,3,4,1,5,4,2,5,3
west,0,4,2,0,5,3
west,1,2,0,2,3,3
west,1,2,4,2,4,3,2,4,2,0,2,1
west,0,4,3,1,3,0,2,3,1,0,5,2,2,2,3
west,1,4,2,2,5,4,2,5,4,0,2,4,2,2,0
west,0,3,4,1,2,3,1,4,4
west,2,5,0,2,4,0,1,4,2,1,3,4
west,0,4,0,2,2,1,1,3,1,1,3,4
west,2,4,3,1,3,3,1,3,2,0,5,2
west,2,3,1,1,5,2
west,2,2,3,0,5,3,2,4,0
west,2,5,1,0,3,2,1,3,2,0,5,4
west,1,4,3,1,2,2
west,0,3,0,2,2,1,0,5,2
west,0,2,0,2,3,0,2,3,0,2,5,2
west,0,4,3,1,2,2,2,3,2,0,2,1
west,1,4,1,1,5,3,2,2,2,2,4,2
west,1,3,0,2,4,3
west,1,2,4,0,2,4,2,3,2,1,4,2
west,0,3,2,1,2,3
west,0,4,1,2,3,2,1,3,4,2,2,1
west,1,3,3,2,2,1
west,0,5,4,1,2,0
west,2,4,0,2,4,3,2,2,2,2,3,1
west,0,4,1,0,4,3
west,2,3,2,0,5,3
west,1,5,2,1,4,1
west,0,4,0,2,5,4
west,2,5,4,2,3,2
west,1,3,1,2,3,4,1,2,2
west,2,4,1,0,2,2,1,5,2
west,1,4,0,0,5,3,1,5,0,0,4,3,1,2,3
west,1,4,3,2,4,0,0,5,0,0,3,3,0,5,3
west,0,4,1,2,4,4
west,0,4,3,0,5,3,1,4,4,1,5,3
west,1,5,4,2,2,4,0,5,0,0,4,0,0,4,2
west,0,2,1,1,3,1,2,5,2
west,0,3,2,1,3,3
west,1,2,0,2,4,2,0,2,4
west,2,3,0,1,5,1,1,2,3
west,2,3,3,0,4,2,2,5,2,0,5,2,2,4,4
west,2,2,4,2,2,1,1,5,3
west,1,2,3,1,2,0
west,2,5,4,0,3,1,1,5,0,1,3,4
west,1,5,2,2,4,1
west,2,3,2,0,5,2,0,5,4
west,0,4,0,1,5,4,0,4,2,1,5,1,2,2,2
west,0,2,2,1,2,3,1,4,2
west,0,3,1,0,3,0,1,5,3,1,2,4
west,2,4,1,2,4,2,2,2,1
west,2,4,4,0,3,4,0,3,0,0,3,1,1,5,1
west,1,5,2,0,5,2,0,2,1
west,1,5,1,2,3,3
west,0,2,2,2,4,0,0,4,4,1,3,1
west,2,5,1,2,2,0,0,5,0
west,0,5,1,0,5,4
west,0,3,2,2,4,1,2,2,3
west,1,5,1,2,2,2,1,2,4
west,1,2,0,0,3,0,1,5,2
west,0,2,3,1,4,4,0,5,1
west,1,5,0,2,4,3
west,0,5,0,1,3,0
west,2,3,3,1,5,2,2,2,4,1,2,1
west,1,4,0,0,3,1,1,4,2,2,5,4
west,0,3,3,0,4,1,0,4,3
west,1,2,2,0,5,1,1,4,3
west,2,3,1,0,2,1,0,2,0
west,0,2,3,0,3,3,1,4,0,1,5,3,0,5,4
west,1,4,4,0,3,1,1,4,2,0,4,3,1,4,0
west,1,4,2,0,5,3,0,4,3
west,2,5,1,2,4,4,1,4,2,0,5,4,1,2,1
west,0,5,2,2,4,2,1,5,1
west,1,4,2,1,2,2,1,2,0
west,2,2,1,1,5,4,0,4,4,1,5,2,1,5,4
west,0,5,0,0,2,1,2,5,2
west,1,2,0,1,5,2
west,0,5,0,1,4,1,0,4,1,1,2,1,0,5,0
west,2,4,4,2,2,2,2,2,2,1,5,1,0,4,3
west,1,5,4,1,4,3,0,2,0
west,1,3,0,0,3,1
west,0,4,2,2,3,1,1,5,4
west,0,4,0,2,4,2,0,5,2
west,2,3,1,1,3,3,1,4,1
west,2,4,4,2,5,4
west,1,5,3,1,5,3,1,3,4,2,3,4
west,0,4,3,0,3,3,1,2,2,0,5,4,2,5,2
west,1,3,2,1,5,2,2,2,1,1,2,0
west,0,4,3,0,5,1
west,2,3,3,0,4,1,1,4,1,1,4,0
west,2,3,0,2,5,1,1,5,4,1,4,3
west,0,3,3,2,4,3,0,5,2
west,1,4,2,1,4,1,0,4,1,1,4,1,0,4,3
west,2,2,2,0,3,1
west,1,5,2,0,2,1,0,3,0,2,4,0
west,0,3,1,0,4,1,2,2,1
west,2,4,1,0,4,4,2,2,2,2,2,0,0,5,1
west,2,5,1,2,4,0
west,2,4,4,0,5,4,0,3,1
west,0,4,3,2,4,1
west,0,2,4,1,4,4
west,1,2,0,2,5,0,2,5,2,0,4,2
west,2,4,4,1,5,0,2,2,1,0,5,2,2,4,1
west,0,3,1,1,3,4
west,2,4,1,0,2,0
west,0,4,1,2,5,4,2,4,2
west,1,2,3,0,2,0,0,2,0,1,2,1
west,1,3,4,1,5,4,0,3,0
west,2,4,4,1,4,0
west,2,3,0,1,3,1,2,4,2,0,3,1,0,3,4
west,1,4,0,2,4,2,1,3,3,0,4,4,1,5,4
west,1,5,3,0,5,2,1,3,1,2,4,1
west,0,2,1,0,5,0,1,2,4,1,2,4,1,4,0
west,2,2,4,0,2,4
west,2,3,3,2,5,1,0,4,4
west,1,4,0,1,2,3,2,4,2,2,5,3,2,4,1
west,1,3,3,1,3,3,1,2,1,2,3,2,0,3,2
west,2,4,1,2,5,2
west,1,5,1,2,2,3,0,5,3,0,2,0
west,1,5,0,2,4,1
west,1,4,0,0,3,4,1,3,3,1,4,3,0,5,4
west,1,5,2,0,3,2
west,0,4,3,2,2,2,2,5,0
west,0,5,1,0,2,0,1,4,2,2,4,1,0,2,1
west,0,4,3,0,2,3,2,4,2,1,2,3,2,2,3
west,2,4,4,2,2,3,2,5,0,1,5,0,2,3,1
west,2,4,0,1,5,1,1,3,4
west,0,3,1,2,5,1,2,4,2
west,0,5,0,0,2,0,0,4,2,0,5,2,2,2,3
west,1,5,4,1,2,4,0,4,4,1,4,4,1,3,4
west,2,4,4,2,5,0,2,5,0
west,0,5,1,2,5,1,0,3,1,0,5,0
west,1,3,4,2,5,3,0,3,0,1,4,0,1,4,3
west,2,4,0,1,3,1,1,2,3,2,2,4
west,0,4,3,0,4,3,0,3,4
west,0,3,2,1,4,3,0,4,0,1,3,1,1,5,3
west,1,5,1,0,3,0,0,5,4,0,2,4,0,4,2
west,1,2,2,1,5,4
west,0,4,4,2,2,4,0,3,2,0,3,1
west,1,4,2,1,5,4,0,2,0,2,5,2,2,4,0
west,1,2,2,0,2,4
west,2,5,1,0,3,1,2,2,2
west,2,4,3,2,3,3,1,2,1,1,4,1
west,1,4,2,2,4,3,2,4,4
west,2,3,0,1,4,2,1,3,2,0,3,2
west,0,2,4,0,3,3,2,3,2
west,2,2,0,1,3,4,1,4,1,0,4,4
west,2,4,4,2,2,3,2,4,3,0,2,1,2,2,4
west,0,4,4,1,2,2,2,2,2,2,2,0,1,5,3
west,2,4,0,0,2,3,2,5,3,0,2,3
west,0,5,2,1,5,3,0,5,4
west,2,3,2,2,2,1,2,5,2,0,2,4,2,5,1
west,1,3,3,0,2,2
west,0,3,3,0,5,4,2,5,3
west,1,4,0,1,5,0,2,4,1,0,5,1
west,0,2,4,1,4,2,1,5,3,2,3,4
west,0,2,4,1,3,0
west,1,5,3,0,5,1,1,3,3
west,1,5,1,2,3,3,1,3,2,2,2,4
west,2,3,1,2,2,2,1,4,2
west,1,3,2,0,4,3,2,5,3,2,3,3,2,4,0
west,2,5,2,1,2,0,2,4,3
west,0,5,4,0,3,0
west,2,4,3,2,5,1,2,5,2
west,1,2,1,1,5,4,2,3,2,1,4,1,0,2,0
west,2,4,3,2,3,4,1,4,4
west,0,4,3,2,5,0,1,2,2
west,2,4,3,2,3,1,1,2,0,0,5,3,0,2,0
west,2,2,3,1,5,2,2,4,2,2,3,3
west,2,5,2,2,3,3,1,3,2,2,3,3,2,3,1
west,2,3,3,1,3,4,0,5,2
west,2,4,4,2,3,2,1,2,2,1,4,1,2,4,3
west,1,5,2,0,4,4,1,5,4,0,3,4
west,1,2,2,0,2,3
west,2,4,2,1,3,4,2,5,3,1,2,2,1,4,2
west,0,3,4,1,2,3,0,2,1,0,3,2,2,3,2

