TrainName,Size1,Size2,SizeDif
east425,3,2,1
east426,3,2,1
east427,3,2,1
east428,3,2,1
east429,2,1,1
east430,2,1,1
east431,3,2,1
east432,2,1,1
east433,3,2,1
east434,2,1,1
east435,2,1,1
east436,3,2,1
east437,3,2,1
east438,3,2,1
east439,2,1,1
east440,2,1,1
east441,3,2,1
east442,2,1,1
east443,2,1,1
east444,3,2,1
east445,2,1,1
east446,3,2,1
east447,3,2,1
east448,2,1,1
east449,3,2,1
east450,2,1,1
east451,3,2,1
east452,3,2,1
east453,3,2,1
east454,3,2,1
east455,2,1,1
east456,2,1,1
east457,2,1,1
east458,3,2,1
east459,3,2,1
east460,2,1,1
east461,3,2,1
east462,2,1,1
east463,2,1,1
east464,3,2,1
east465,3,2,1
east466,2,1,1
east467,2,1,1
east468,2,1,1
east469,3,2,1
east470,2,1,1
east471,3,2,1
east472,2,1,1
east473,3,2,1
east474,3,2,1
east475,3,2,1
east476,2,1,1
east477,3,2,1
east478,3,2,1
east479,3,2,1
east480,2,1,1
east481,3,2,1
east482,3,2,1
east483,3,2,1
east484,3,2,1
east485,2,1,1
east486,3,2,1
east487,2,1,1
east488,3,2,1
east489,2,1,1
east490,2,1,1
east491,3,2,1
east492,2,1,1
east493,2,1,1
east494,2,1,1
east495,3,2,1
east496,2,1,1
east497,3,2,1
east498,3,2,1
east499,3,2,1
east500,2,1,1
east501,2,1,1
east502,2,1,1
east503,3,2,1
east504,3,2,1
east505,2,1,1
east506,3,2,1
east507,2,1,1
east508,3,2,1
east509,3,2,1
east510,3,2,1
east511,3,2,1
east512,3,2,1
east513,3,2,1
east514,2,1,1
east515,3,2,1
east516,2,1,1
east517,2,1,1
east518,2,1,1
east519,3,2,1
east520,3,2,1
east521,2,1,1
east522,2,1,1
east523,2,1,1
east524,3,2,1
east525,2,1,1
east526,3,2,1
east527,3,2,1
east528,2,1,1
east529,3,2,1
east530,2,1,1
east531,2,1,1
east532,2,1,1
east533,3,2,1
east534,2,1,1
east535,2,1,1
east536,3,2,1
east537,3,2,1
east538,2,1,1
east539,3,2,1
east540,2,1,1
east541,2,1,1
east542,3,2,1
east543,3,2,1
east544,3,2,1
east545,3,2,1
east546,2,1,1
east547,3,2,1
east548,3,2,1
east549,2,1,1
east550,3,2,1
east551,2,1,1
east552,3,2,1
east553,3,2,1
east554,2,1,1
east555,2,1,1
east556,3,2,1
east557,2,1,1
east558,3,2,1
east559,2,1,1
east560,2,1,1
east561,3,2,1
east562,3,2,1
east563,3,2,1
east564,3,2,1
east565,2,1,1
east566,3,2,1
east567,2,1,1
east568,2,1,1
east569,3,2,1
east570,2,1,1
east571,2,1,1
east572,3,2,1
east573,3,2,1
east574,3,2,1
east575,2,1,1
east576,3,2,1
east577,2,1,1
east578,3,2,1
east579,3,2,1
east580,3,2,1
east581,2,1,1
east582,2,1,1
east583,2,1,1
east584,2,1,1
east585,2,1,1
east586,3,2,1
east587,2,1,1
east588,2,1,1
east589,2,1,1
east590,3,2,1
east591,2,1,1
east592,2,1,1
east593,3,2,1
east594,3,2,1
east595,2,1,1
east596,2,1,1
east597,2,1,1
east598,3,2,1
east599,2,1,1
east600,3,2,1
east601,3,2,1
east602,2,1,1
east603,3,2,1
east604,2,1,1
east605,3,2,1
east606,3,2,1
east607,2,1,1
east608,3,2,1
east609,3,2,1
east610,2,1,1
east611,2,1,1
east612,2,1,1
east613,2,1,1
east614,2,1,1
east615,3,2,1
east616,3,2,1
east617,3,2,1
east618,3,2,1
east619,3,2,1
east620,3,2,1
east621,2,1,1
east622,3,2,1
east623,3,2,1
east624,3,2,1
east625,2,1,1
east626,3,2,1
east627,2,1,1
east628,3,2,1
east629,2,1,1
east630,2,1,1
east631,3,2,1
east632,2,1,1
east633,2,1,1
east634,2,1,1
east635,2,1,1
east636,3,2,1
east637,2,1,1
east638,2,1,1
east639,2,1,1
east640,2,1,1
east641,3,2,1
east642,2,1,1
east643,2,1,1
east644,3,2,1
east645,3,2,1
east646,2,1,1
east647,2,1,1
east648,3,2,1
east649,2,1,1
east650,3,2,1
east651,2,1,1
east652,2,1,1
east653,3,2,1
east654,3,2,1
east655,3,2,1
east656,2,1,1
east657,3,2,1
east658,3,2,1
east659,2,1,1
east660,3,2,1
east661,2,1,1
east662,2,1,1
east663,2,1,1
east664,3,2,1
east665,3,2,1
east666,2,1,1
east667,2,1,1
east668,2,1,1
east669,2,1,1
east670,2,1,1
east671,3,2,1
east672,3,2,1
east673,3,2,1
east674,2,1,1
east675,3,2,1
east676,3,2,1
east677,3,2,1
east678,2,1,1
east679,2,1,1
east680,3,2,1
east681,2,1,1
east682,3,2,1
east683,3,2,1
east684,3,2,1
east685,3,2,1
east686,2,1,1
east687,2,1,1
east688,2,1,1
east689,3,2,1
east690,2,1,1
east691,3,2,1
east692,2,1,1
east693,2,1,1
east694,2,1,1
east695,2,1,1
east696,3,2,1
east697,3,2,1
east698,2,1,1
east699,2,1,1
east700,3,2,1
east701,2,1,1
east702,3,2,1
east703,3,2,1
east704,3,2,1
east705,3,2,1
east706,2,1,1
east707,2,1,1
east708,2,1,1
east709,3,2,1
east710,3,2,1
east711,2,1,1
east712,2,1,1
east713,3,2,1
east714,2,1,1
east715,2,1,1
east716,2,1,1
east717,2,1,1
east718,2,1,1
east719,3,2,1
east720,3,2,1
east721,3,2,1
east722,2,1,1
east723,2,1,1
east724,2,1,1
east725,3,2,1
east726,2,1,1
east727,2,1,1
east728,2,1,1
east729,3,2,1
east730,2,1,1
east731,2,1,1
east732,2,1,1
east733,2,1,1
east734,3,2,1
east735,2,1,1
east736,2,1,1
east737,2,1,1
east738,3,2,1
east739,2,1,1
east740,2,1,1
east741,2,1,1
east742,3,2,1
east743,3,2,1
east744,3,2,1
east745,2,1,1
east746,3,2,1
east747,2,1,1
east748,3,2,1
east749,2,1,1
east750,3,2,1
east751,3,2,1
east752,3,2,1
east753,2,1,1
east754,2,1,1
east755,2,1,1
east756,2,1,1
east757,3,2,1
east758,2,1,1
east759,2,1,1
east760,3,2,1
east761,3,2,1
east762,2,1,1
east763,3,2,1
east764,3,2,1
east765,2,1,1
east766,2,1,1
east767,3,2,1
east768,2,1,1
east769,3,2,1
east770,3,2,1
east771,3,2,1
east772,2,1,1
east773,2,1,1
east774,2,1,1
east775,2,1,1
east776,3,2,1
east777,2,1,1
east778,3,2,1
east779,3,2,1
east780,2,1,1
east781,3,2,1
east782,3,2,1
east783,3,2,1
east784,2,1,1
east785,3,2,1
east786,2,1,1
east787,2,1,1
east788,3,2,1
east789,2,1,1
east790,3,2,1
east791,2,1,1
east792,3,2,1
east793,3,2,1
east794,2,1,1
east795,2,1,1
east796,3,2,1
east797,2,1,1
east798,3,2,1
east799,2,1,1
east800,2,1,1
east801,2,1,1
east802,2,1,1
east803,3,2,1
east804,3,2,1
east805,2,1,1
east806,2,1,1
east807,3,2,1
east808,2,1,1
east809,2,1,1
east810,2,1,1
east811,2,1,1
east812,3,2,1
east813,2,1,1
east814,3,2,1
east815,2,1,1
east816,2,1,1
east817,2,1,1
east818,3,2,1
east819,2,1,1
east820,3,2,1
east821,3,2,1
east822,2,1,1
east823,3,2,1
east824,2,1,1
east825,2,1,1
east826,2,1,1
east827,3,2,1
east828,2,1,1
east829,2,1,1
east830,2,1,1
east831,2,1,1
east832,3,2,1
east833,3,2,1
east834,2,1,1
east835,3,2,1
east836,2,1,1
east837,3,2,1
east838,3,2,1
east839,2,1,1
east840,3,2,1
east841,2,1,1
east842,2,1,1
east843,3,2,1
east844,2,1,1
east845,2,1,1
east846,3,2,1
east847,3,2,1
east848,2,1,1
east849,2,1,1
east850,2,1,1
east851,2,1,1
east852,3,2,1
east853,3,2,1
east854,3,2,1
east855,3,2,1
east856,3,2,1
east857,3,2,1
east858,2,1,1
east859,3,2,1
east860,2,1,1
east861,3,2,1
east862,3,2,1
east863,3,2,1
east864,2,1,1
east865,3,2,1
east866,2,1,1
east867,2,1,1
east868,3,2,1
east869,2,1,1
east870,2,1,1
east871,2,1,1
east872,3,2,1
east873,2,1,1
east874,2,1,1
east875,2,1,1
east876,2,1,1
east877,2,1,1
east878,2,1,1
east879,2,1,1
east880,3,2,1
east881,2,1,1
east882,2,1,1
east883,2,1,1
east884,2,1,1
east885,2,1,1
east886,2,1,1
east887,2,1,1
east888,2,1,1
east889,3,2,1
east890,2,1,1
east891,2,1,1
east892,2,1,1
east893,2,1,1
east894,2,1,1
east895,2,1,1
east896,2,1,1
east897,3,2,1
east898,3,2,1
east899,3,2,1
east900,3,2,1
east901,3,2,1
east902,3,2,1
east903,3,2,1
east904,3,2,1
east905,3,2,1
east906,2,1,1
east907,3,2,1
east908,3,2,1
east909,2,1,1
east910,2,1,1
east911,2,1,1
east912,3,2,1
east913,2,1,1
east914,2,1,1
east915,3,2,1
east916,2,1,1
east917,3,2,1
east918,3,2,1
east919,3,2,1
east920,2,1,1
east921,2,1,1
east922,3,2,1
east923,2,1,1
east924,2,1,1
east925,3,2,1
east926,3,2,1
east927,2,1,1
east928,3,2,1
east929,2,1,1
east930,3,2,1
east931,2,1,1
east932,2,1,1
east933,2,1,1
east934,3,2,1
east935,3,2,1
east936,3,2,1
east937,2,1,1
east938,3,2,1
east939,2,1,1
east940,2,1,1
east941,3,2,1
east942,2,1,1
east943,2,1,1
east944,2,1,1
east945,3,2,1
east946,2,1,1
east947,3,2,1
east948,2,1,1
east949,3,2,1
east950,2,1,1
east951,3,2,1
east952,2,1,1
east953,2,1,1
east954,3,2,1
east955,2,1,1
east956,2,1,1
east957,2,1,1
east958,3,2,1
east959,3,2,1
east960,2,1,1
east961,2,1,1
east962,2,1,1
east963,2,1,1
east964,2,1,1
east965,3,2,1
east966,3,2,1
east967,2,1,1
east968,3,2,1
east969,2,1,1
east970,3,2,1
east971,2,1,1
east972,3,2,1
east973,3,2,1
east974,2,1,1
east975,3,2,1
east976,3,2,1
east977,2,1,1
east978,2,1,1
east979,3,2,1
east980,2,1,1
east981,3,2,1
east982,2,1,1
east983,3,2,1
east984,3,2,1
east985,3,2,1
east986,2,1,1
east987,2,1,1
east988,3,2,1
east989,2,1,1
east990,3,2,1
east991,3,2,1
east992,3,2,1
east993,2,1,1
east994,3,2,1
east995,3,2,1
east996,3,2,1
east997,2,1,1
east998,3,2,1
east999,3,2,1
east1000,2,1,1
west1,1,1,0
west2,1,2,-1
west3,1,1,0
west4,2,3,-1
west5,2,2,0
west6,2,2,0
west7,2,2,0
west8,1,2,-1
west9,3,3,0
west10,1,3,-2
west11,1,1,0
west12,1,3,-2
west13,1,2,-1
west14,1,1,0
west15,1,1,0
west16,2,2,0
west17,1,1,0
west18,3,3,0
west19,1,3,-2
west20,1,2,-1
west21,2,2,0
west22,2,2,0
west23,2,2,0
west24,2,3,-1
west25,3,1,2
west26,1,2,-1
west27,1,3,-2
west28,1,2,-1
west29,2,2,0
west30,3,3,0
west31,1,1,0
west32,2,2,0
west33,2,2,0
west34,1,3,-2
west35,1,1,0
west36,1,3,-2
west37,1,3,-2
west38,1,1,0
west39,1,1,0
west40,3,1,2
west41,2,3,-1
west42,1,2,-1
west43,3,1,2
west44,1,2,-1
west45,2,2,0
west46,2,2,0
west47,1,3,-2
west48,2,2,0
west49,1,1,0
west50,3,1,2
west51,3,1,2
west52,1,3,-2
west53,3,3,0
west54,1,3,-2
west55,1,3,-2
west56,1,1,0
west57,2,2,0
west58,3,1,2
west59,1,3,-2
west60,3,1,2
west61,3,3,0
west62,3,1,2
west63,2,2,0
west64,1,3,-2
west65,1,1,0
west66,1,2,-1
west67,1,2,-1
west68,3,1,2
west69,1,2,-1
west70,1,3,-2
west71,3,3,0
west72,2,3,-1
west73,1,3,-2
west74,2,2,0
west75,3,1,2
west76,2,2,0
west77,2,3,-1
west78,1,3,-2
west79,1,2,-1
west80,3,1,2
west81,1,3,-2
west82,2,2,0
west83,1,1,0
west84,2,2,0
west85,1,3,-2
west86,3,3,0
west87,2,3,-1
west88,3,3,0
west89,2,3,-1
west90,1,1,0
west91,2,3,-1
west92,2,3,-1
west93,3,1,2
west94,1,3,-2
west95,2,2,0
west96,1,1,0
west97,1,1,0
west98,1,2,-1
west99,2,3,-1
west100,1,3,-2
west101,1,3,-2
west102,3,3,0
west103,2,2,0
west104,1,1,0
west105,3,1,2
west106,3,3,0
west107,3,1,2
west108,2,2,0
west109,3,3,0
west110,3,1,2
west111,1,2,-1
west112,3,3,0
west113,1,3,-2
west114,1,2,-1
west115,1,3,-2
west116,1,2,-1
west117,2,3,-1
west118,2,3,-1
west119,2,3,-1
west120,1,2,-1
west121,1,1,0
west122,3,3,0
west123,3,1,2
west124,3,1,2
west125,1,1,0
west126,1,1,0
west127,2,3,-1
west128,3,1,2
west129,2,3,-1
west130,1,3,-2
west131,1,2,-1
west132,1,2,-1
west133,1,3,-2
west134,2,3,-1
west135,3,3,0
west136,2,2,0
west137,3,3,0
west138,1,1,0
west139,1,2,-1
west140,3,1,2
west141,1,2,-1
west142,1,3,-2
west143,1,1,0
west144,2,3,-1
west145,3,3,0
west146,3,1,2
west147,3,1,2
west148,1,2,-1
west149,3,3,0
west150,1,3,-2
west151,2,3,-1
west152,1,1,0
west153,1,3,-2
west154,2,2,0
west155,1,1,0
west156,1,3,-2
west157,1,3,-2
west158,1,1,0
west159,2,2,0
west160,1,3,-2
west161,3,3,0
west162,1,1,0
west163,1,1,0
west164,1,1,0
west165,3,1,2
west166,2,3,-1
west167,1,1,0
west168,1,1,0
west169,2,2,0
west170,3,3,0
west171,2,2,0
west172,2,3,-1
west173,3,1,2
west174,3,3,0
west175,1,1,0
west176,1,3,-2
west177,1,1,0
west178,1,1,0
west179,1,2,-1
west180,1,3,-2
west181,3,3,0
west182,3,3,0
west183,2,2,0
west184,3,1,2
west185,3,1,2
west186,2,3,-1
west187,2,2,0
west188,3,3,0
west189,2,2,0
west190,3,1,2
west191,2,2,0
west192,1,2,-1
west193,1,2,-1
west194,1,2,-1
west195,3,1,2
west196,2,2,0
west197,3,1,2
west198,3,1,2
west199,3,3,0
west200,1,1,0
west201,1,1,0
west202,2,3,-1
west203,2,2,0
west204,1,2,-1
west205,1,2,-1
west206,3,1,2
west207,2,2,0
west208,3,3,0
west209,1,3,-2
west210,2,2,0
west211,1,1,0
west212,3,1,2
west213,3,3,0
west214,3,3,0
west215,1,2,-1
west216,3,1,2
west217,2,2,0
west218,2,2,0
west219,1,3,-2
west220,1,2,-1
west221,3,3,0
west222,1,3,-2
west223,3,1,2
west224,3,3,0
west225,3,1,2
west226,2,3,-1
west227,2,3,-1
west228,1,1,0
west229,2,2,0
west230,2,2,0
west231,2,3,-1
west232,1,1,0
west233,1,1,0
west234,2,2,0
west235,1,3,-2
west236,2,2,0
west237,1,2,-1
west238,2,2,0
west239,3,3,0
west240,2,2,0
west241,1,3,-2
west242,2,2,0
west243,2,2,0
west244,1,3,-2
west245,1,1,0
west246,1,2,-1
west247,1,2,-1
west248,2,3,-1
west249,2,3,-1
west250,2,2,0
west251,3,3,0
west252,2,2,0
west253,1,1,0
west254,3,3,0
west255,1,1,0
west256,1,1,0
west257,3,3,0
west258,1,3,-2
west259,3,1,2
west260,3,1,2
west261,1,1,0
west262,3,3,0
west263,2,3,-1
west264,3,3,0
west265,2,2,0
west266,3,3,0
west267,2,3,-1
west268,1,3,-2
west269,1,2,-1
west270,3,1,2
west271,1,3,-2
west272,1,3,-2
west273,2,2,0
west274,3,1,2
west275,1,2,-1
west276,3,3,0
west277,2,2,0
west278,3,1,2
west279,1,3,-2
west280,2,3,-1
west281,1,1,0
west282,2,3,-1
west283,3,3,0
west284,3,3,0
west285,3,1,2
west286,1,2,-1
west287,2,2,0
west288,2,3,-1
west289,1,3,-2
west290,3,1,2
west291,2,2,0
west292,1,3,-2
west293,1,1,0
west294,3,3,0
west295,3,3,0
west296,1,1,0
west297,2,3,-1
west298,2,2,0
west299,3,1,2
west300,1,1,0
west301,3,3,0
west302,2,2,0
west303,3,1,2
west304,1,3,-2
west305,3,1,2
west306,1,3,-2
west307,1,3,-2
west308,3,1,2
west309,3,1,2
west310,1,3,-2
west311,1,1,0
west312,1,1,0
west313,1,3,-2
west314,1,1,0
west315,1,3,-2
west316,1,1,0
west317,1,2,-1
west318,1,2,-1
west319,2,3,-1
west320,3,1,2
west321,3,1,2
west322,2,2,0
west323,2,3,-1
west324,2,3,-1
west325,1,2,-1
west326,1,1,0
west327,3,1,2
west328,1,3,-2
west329,3,1,2
west330,2,3,-1
west331,2,3,-1
west332,2,3,-1
west333,1,3,-2
west334,1,1,0
west335,3,3,0
west336,2,2,0
west337,1,1,0
west338,1,2,-1
west339,3,1,2
west340,1,3,-2
west341,1,3,-2
west342,3,1,2
west343,1,1,0
west344,1,2,-1
west345,2,3,-1
west346,3,3,0
west347,1,3,-2
west348,3,1,2
west349,1,1,0
west350,3,1,2
west351,3,3,0
west352,2,2,0
west353,3,3,0
west354,1,1,0
west355,1,3,-2
west356,3,3,0
west357,3,1,2
west358,3,1,2
west359,3,1,2
west360,1,3,-2
west361,1,2,-1
west362,2,2,0
west363,2,3,-1
west364,1,1,0
west365,2,3,-1
west366,1,2,-1
west367,1,2,-1
west368,2,3,-1
west369,1,1,0
west370,1,1,0
west371,1,1,0
west372,1,1,0
west373,2,2,0
west374,2,3,-1
west375,3,1,2
west376,1,1,0
west377,1,3,-2
west378,1,2,-1
west379,1,2,-1
west380,2,3,-1
west381,2,3,-1
west382,2,3,-1
west383,3,3,0
west384,3,3,0
west385,1,2,-1
west386,2,3,-1
west387,1,1,0
west388,3,3,0
west389,1,3,-2
west390,1,2,-1
west391,1,3,-2
west392,3,3,0
west393,2,3,-1
west394,3,3,0
west395,2,2,0
west396,3,3,0
west397,2,2,0
west398,3,3,0
west399,3,1,2
west400,3,1,2
west401,1,3,-2
west402,2,2,0
west403,3,1,2
west404,1,2,-1
west405,3,3,0
west406,2,3,-1
west407,2,3,-1
west408,3,3,0
west409,1,1,0
west410,2,2,0
west411,1,1,0
west412,1,3,-2
west413,2,2,0
west414,3,1,2
west415,2,2,0
west416,2,2,0
west417,1,3,-2
west418,3,1,2
west419,2,2,0
west420,2,3,-1
west421,2,3,-1
west422,2,2,0
west423,3,3,0
west424,3,1,2
west425,1,3,-2
west426,1,3,-2
west427,1,2,-1
west428,1,1,0
west429,3,3,0
west430,3,3,0
west431,1,3,-2
west432,2,3,-1
west433,3,1,2
west434,2,3,-1
west435,2,2,0
west436,3,1,2
west437,3,1,2
west438,3,3,0
west439,3,1,2
west440,1,2,-1
west441,2,2,0
west442,2,3,-1
west443,3,1,2
west444,1,3,-2
west445,1,3,-2
west446,1,3,-2
west447,1,3,-2
west448,1,2,-1
west449,3,1,2
west450,1,3,-2
west451,1,1,0
west452,2,2,0
west453,3,3,0
west454,3,3,0
west455,1,1,0
west456,1,2,-1
west457,1,3,-2
west458,2,2,0
west459,3,3,0
west460,2,3,-1
west461,1,3,-2
west462,2,3,-1
west463,1,1,0
west464,1,1,0
west465,1,3,-2
west466,3,1,2
west467,3,1,2
west468,3,1,2
west469,1,3,-2
west470,2,2,0
west471,2,3,-1
west472,3,3,0
west473,3,1,2
west474,2,2,0
west475,1,1,0
west476,1,3,-2
west477,1,1,0
west478,1,3,-2
west479,1,1,0
west480,3,1,2
west481,1,1,0
west482,2,3,-1
west483,3,1,2
west484,3,3,0
west485,3,1,2
west486,1,2,-1
west487,2,2,0
west488,3,1,2
west489,3,3,0
west490,2,2,0
west491,3,1,2
west492,3,3,0
west493,2,3,-1
west494,2,3,-1
west495,1,3,-2
west496,2,3,-1
west497,1,1,0
west498,3,3,0
west499,1,2,-1
west500,1,2,-1
west501,3,3,0
west502,1,1,0
west503,1,1,0
west504,1,2,-1
west505,1,1,0
west506,3,1,2
west507,2,3,-1
west508,1,2,-1
west509,3,3,0
west510,1,1,0
west511,1,3,-2
west512,3,1,2
west513,3,3,0
west514,1,2,-1
west515,1,3,-2
west516,3,1,2
west517,1,1,0
west518,1,3,-2
west519,3,3,0
west520,3,3,0
west521,3,1,2
west522,1,3,-2
west523,2,3,-1
west524,2,3,-1
west525,3,1,2
west526,1,2,-1
west527,1,2,-1
